"kind","group","element","scenario","period","resolution","file","path"
"elements","bird","bird-lcsp","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-lcsp/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-lefl","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-lefl/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-lisp","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-lisp/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-mawa","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-mawa/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-nofl","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-nofl/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-nowa","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-nowa/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-ocwa","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-ocwa/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-osfl","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-osfl/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-oven","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-oven/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-pawa","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-pawa/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-pisi","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-pisi/landrcs-fs-v6a/2011/250m/mean.tif"
